OrgDefinedId,Username,Last Name,First Name,Email,Sections,Assignment 1 Weighted Grade <Numeric MaxPoints:10 Weight:20 Category:Minor Assignments CategoryWeight:8>,Assignment 2 Weighted Grade <Numeric MaxPoints:14 Weight:20 Category:Minor Assignments CategoryWeight:8>,Assignment 3 Weighted Grade <Numeric MaxPoints:11 Weight:20 Category:Minor Assignments CategoryWeight:8>,Assignment 4 Weighted Grade <Numeric MaxPoints:12 Weight:20 Category:Minor Assignments CategoryWeight:8>,Assignment 5 Weighted Grade <Numeric MaxPoints:5 Weight:20 Category:Minor Assignments CategoryWeight:8>,Minor Assignments Subtotal Numerator,Minor Assignments Subtotal Denominator,Midterm Weighted Grade <Numeric MaxPoints:20 Weight:20>,Midterm 2 Weighted Grade <Numeric MaxPoints:20 Weight:30>,End-of-Line Indicator
#26550866,mstrock,Strock,Marie,mstrock@uoguelph.ca,PSYC_3250_01_W22,8,6,10,9,3,5.2,8,15,11,#
#37212390,alingche,Ling Chen,Aubrianna,alingche@uoguelph.ca,PSYC_3250_01_W22,10,3,3,5,10,5.466666667,8,16,12,#
#57285336,selmolla,el-Molla,Shannon,selmolla@uoguelph.ca,PSYC_3250_01_W22,4,5,3,6,6,4,8,7,13,#
#90820779,nelamin,el-Amin,Nykalous,nelamin@uoguelph.ca,PSYC_3250_01_W22,5,9,9,7,5,5.333333333,8,18,14,#
#20168193,akumar,Kumar,Aiesha,akumar@uoguelph.ca,PSYC_3250_01_W22,8,4,6,3,3,3.6,8,19,15,#
#89838968,ropheim,Opheim,Ronald,ropheim@uoguelph.ca,PSYC_3250_01_W22,3,7,3,5,2,2.933333333,8,14,16,#
#94467527,atruong,Truong,Abdus Salam,atruong@uoguelph.ca,PSYC_3250_01_W22,5,9,5,5,7,5.066666667,8,13,17,#
#66079779,jaljamai,al-Jamail,Jeramy,jaljamai@uoguelph.ca,PSYC_3250_01_W22,6,3,7,3,7,4.4,8,8,18,#
#62911404,ralradi,al-Radi,Ryan,ralradi@uoguelph.ca,PSYC_3250_01_W22,3,8,4,9,10,5.866666667,8,5,19,#
#6178627,malbahri,al-Bahri,Michael,malbahri@uoguelph.ca,PSYC_3250_01_W22,7,8,5,9,7,5.733333333,8,18,20,#
#20597457,tmolina,Molina,Taeler,tmolina@uoguelph.ca,PSYC_3250_01_W22,10,6,3,9,3,4.533333333,8,7,7,#
#17655675,jbishop,Bishop,Jonathan,jbishop@uoguelph.ca,PSYC_3250_01_W22,10,5,7,9,3,4.933333333,8,5,5,#
#68702285,ktaylor,Taylor,Kelly,ktaylor@uoguelph.ca,PSYC_3250_01_W22,3,6,3,3,6,3.6,8,19,19,#
#38410372,aalmurad,al-Murad,Alexander,aalmurad@uoguelph.ca,PSYC_3250_01_W22,6,9,10,5,2,4.533333333,8,9,9,#
#76984142,ahibpshm,Hibpshman,Andrew,ahibpshm@uoguelph.ca,PSYC_3250_01_W22,5,4,9,6,6,4.8,8,7,7,#
#49769924,balozer,al-Ozer,Brittany,balozer@uoguelph.ca,PSYC_3250_01_W22,7,4,10,3,4,4.266666667,8,11,11,#
#71761851,rdavis,Davis,Richard,rdavis@uoguelph.ca,PSYC_3250_01_W22,4,5,8,8,10,6,8,12,12,#
#99190609,ogonzale,Gonzales,Olivya,ogonzale@uoguelph.ca,PSYC_3250_01_W22,6,5,5,8,8,5.333333333,8,12,12,#
#38003518,drodrigu,Rodriguez Lomas,Danielle,drodrigu@uoguelph.ca,PSYC_3250_01_W22,3,9,8,2,3,3.733333333,8,13,13,#
#77744522,smcgarve,Mcgarvey,Skyler,smcgarve@uoguelph.ca,PSYC_3250_01_W22,5,3,2,6,6,3.733333333,8,18,18,#
#93470523,racosta,Acosta,Ryan,racosta@uoguelph.ca,PSYC_3250_01_W22,8,6,10,9,8,6.533333333,8,6,6,#
#21214252,alennie,Lennie,Ambrosia,alennie@uoguelph.ca,PSYC_3250_01_W22,6,5,10,2,6,4.666666667,8,13,13,#
#65167377,melmanso,el-Mansouri,Murshid,melmanso@uoguelph.ca,PSYC_3250_01_W22,3,7,5,4,10,5.2,8,15,15,#
#12555510,rrivas,Rivas,Razeen,rrivas@uoguelph.ca,PSYC_3250_01_W22,8,7,8,6,8,6,8,15,15,#
#26722067,smyers,Myers,Sara,smyers@uoguelph.ca,PSYC_3250_01_W22,5,10,8,7,5,5.333333333,8,15,15,#
#38611409,gseay,Seay,Gaitha,gseay@uoguelph.ca,PSYC_3250_01_W22,10,4,8,4,3,4.266666667,8,12,12,#
#1339033,carchule,Archuleta,Cruz,carchule@uoguelph.ca,PSYC_3250_01_W22,4,4,6,5,4,3.6,8,20,20,#
#38238796,zalpour,al-Pour,Zeavennia,zalpour@uoguelph.ca,PSYC_3250_01_W22,9,8,6,5,9,6.133333333,8,11,11,#
#86969085,rtougas,Tougas,Renita,rtougas@uoguelph.ca,PSYC_3250_01_W22,3,9,4,10,5,4.8,8,18,18,#
#34034900,kdiaz,Diaz,Kimberlee,kdiaz@uoguelph.ca,PSYC_3250_01_W22,9,3,8,3,6,4.666666667,8,16,16,#
